title,salary,company,posted,district,job_description,career level,company website,qualification,job type,years of experience
data engineer,salary,PERSOLKELLY Hong Kong Limited,2022-12-02,Central and Western,"Our client, cognitive solutions and cloud platform company headquartered in New York with operations in over 175 countries and has played a pivotal role in Hong Kong’s development and transformation. They are currently looking for a Cloud Data Engineer to participate their team.
Responsibilities
Design and implement data pipeline in cloud environment
Understand data schema of available data sources
Utilize technologies such as workflow engine to automate data transfer from sources to destination
Design suitable data schema for the data warehouse to enable efficient query and retrieval of data for analytic purposes
Automate & implement CI/CD delivery pipeline
Project Summary
Implement and maintain cloud-based data pipeline related projects
Automate collection and processing of data on the data pipeline
Requirements
Data processing frameworks - Spark, Hadoop
Database for big data applications - Hbase, Cassandra, Hive
Cloud based big data services - AWS Dynamo, AWS Athena, AWS Redshift, Google Big Query
At least 2 - 4 years working experience on data processing, analytical related projects
At least 4 – 5 years of Banking or Insurance experience, and have exposure to Financial Services industry
Computer science, data analytic, information engineering or related discipline.
Good command of written and spoke English and Cantonese, with strong communication skills
Candidates with more experience will be considered as Senior Engineer
To apply for this position, please send your full resume to Contract_hk @persolkelly.com in word format indicating the job title. If you are not contacted by our consultants within 2 weeks, please consider your application unsuccessful. All applications will be treated in strict confidence and used for recruitment purposes only in accordance with PERSOLKELLY Hong Kong Limited's Privacy Notice.",Middle,http://www.persolkelly.com.hk,Degree,Full Time,3
it,salary,Hong Kong Air Cargo Terminals Ltd,2022-12-02,Islands,"Duties
Perform database administration and support tasks 
Conduct database performance monitoring and tuning 
Automate routine checking and monitoring tasks and transfer operational knowledge to data centre operators 
Prepare and review change implementation rundown  
On 7X24 support roster to diagnose and resolve database problems 
Work with vendors to resolve database incidents and problems 
Qualifications
Degree or above in Computer Science, or industry related discipline 
At least 3 year(s) solid experience on database administration and support (Oracle 12c/19c RAC and Microsoft SQL Server)  
Experience with SQL, PL/SQL, database and shell script/programming 
Proficient in spoken and written English and Chinese 
Good analytical, problems solving skills and ability to work under pressure 
Self-motivated; taking ownership of projects and issues, including follow through to closure and resolution 
Candidates with less experience may be considered as IT Analyst  
Package including Chinese New Year bonus, discretionary bonus, transport subsidy, overtime allowance, annual safety bonus, quarterly special attendance bonus, employer topped-up MPF contributions, medical benefits (including family members), voluntary dental coverage (including family members), life insurance, birthday leave, extra annual leave, statutory and public holiday, marriage leave, newborn baby gift, sports centre and free shuttle bus
Interested parties please apply with full resume detailing experience, qualifications and expected salary by post, by e-mail or click ""Apply Now"". 
By post: Human Resources, 6/F, North Office Block, SuperTerminal 1, Hong Kong International Airport, HK 
Please quote the above reference in your application. To know more about our company, please visit our website https://careers.hactl.com/. 
Applicants not invited for interview within four weeks should consider their applications unsuccessful. Applicants’ personal data collected will only be used for the sole purpose of recruitment. The data of unsuccessful applicants will be destroyed within six months.",Middle,http://www.hactl.com,Degree,"Full Time, Permanent",3
data analyst,salary,ConnectedGroup Limited,2022-12-01,district,"My client is stable banking group in Asia. They are now looking for a Data Analyst for their internal audit team in Hong Kong.
Report to the team head, you will be responsible for:
Formulating audit analytics' requirements.
Obtaining data for audit purposes.
Developing audit analytics methodology.
Developing audit analytics tools or dashboards.
Supporting some projects.
Requirements:
University graduated in Finance, Business Administration, or relevant disciplines.
At least 4 years relevant experience.
Open minded and willing to take up new challenges.
Strong business sense and problem-solving skills.
Fluency in written and spoken English and Chinese (includes Putonghua).
To Apply
This is an excellent opportunity to join one of the world's leading asset managers that offer long term career growth, guidance, and development.

Interested individuals can apply now. Please send your CV in WORD format with your current and expected salary.",Middle,http://www.connectedgroup.com,Degree,"Full Time, Permanent",4
data analyst,salary,Orient Overseas Container Line Ltd (OOCL),2022-12-02,Sha Tin,"Responsibilities:
Responsible for inspecting, cleansing, data mining, transforming and modelling data with the goal of valuable insight, suggesting conclusions and supporting decision making.
Active development of identified opportunities in various business operation and process improvement.
Build analytics models, construct visualizations and use statistical tools to interpret data sets for uncovering business patterns and benefit future business processes.
Collaborating with engineers, product managers, data scientists and business user to identify opportunities for process improvements, recommend system & algorithm modifications, and corresponding user training. Assist project stakeholders to ensure IT deliverables that would satisfy business analytics requirements and would achieve anticipated business benefits.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy and has a significant understanding of Mathematics, Economics, Shipping & Logistics, Machine Learning or Statistics fields of knowledge.
Strong communication and presentation skills to turn customer needs into business requirements and workable technology outcomes
Requirements:
Bachelor’s degree in a related field with outstanding academic results, major in Statistics, Data Science, Business Analytics, Mathematics, Operations Research, Global Supply Chain Management, Shipping & Logistics Management or related disciplines
3 - 5 years experience in data analytics, including data analysis, sourcing/modelling, ETL, and visualization / reporting would be advantage
A desire to continuously learn new techniques / technologies and bring innovative ideas into the Squad.
Numerically sensitive, creative aptitude and highly adaptable in a multicultural environment
Good analytical abilities, storytelling and time management. Capable of breaking down complex algorithm into user-friendly, logical steps for non-technical end-users
A good team player with excellent analytical, communication and presentation skills
Candidate with more experience may also consider as Senior role


Please send your application letter with detailed resume and expected salary by clicking ""Apply Now"" and quote the reference number on the subject. 
OOCL is an Equal Opportunity Employer. OOCL will retain the personal data of applicants/ unsuccessful applicants for future recruitment purpose for a period of six months. All personal data will be destroyed immediately right after the abovesaid period.",Middle,http://www.oocl.com,Degree,"Full Time, Permanent",3
data analyst,"HK$30,000 - HK$70,000 /month",Manpower Services (Hong Kong) Limited,2022-11-30,Others,"Our client is seeking an Data Analyst in their team.

Responsibilities:
Collect user requirements and provide appropriate solutions
Develop analytics reports and visualization dashboard
Develop and support analytics data model and conduct data asset management
Conduct the system implementation, configuration and deployment
Perform Unit Testing, System Integration Test, and involve in User Acceptance Test

Requirements:
University graduate in in Data Science, Data Analysis, Information Technology or related discipline
4 years or above in Data Analytics related areas
Hands-on experience in Tableau/Power BI/ Other visualization tools (Tableau is an advantage)
Experience in SAS, Python, R
Experienced in managing and developing data integration, ETL with data warehouse is preferred
Experience in IBM DataStage, DB2, Oracle, MySQL AND NoSQL DB (e.g. MongoDB, HBase) is plus
Strong communication skills is a must
Able to work as a team or individually
Good writing skills (both Chinese & English)",Entry Level,http://www.manpowergroupgrc.hk,,Contract,4
data analyst,salary,TE Connectivity HK Limited,2022-11-29,district,"Job Description – Business Analyst – Demand Forecast
Position Overview:
The Business Analyst – Demand - reports into the Head of Demand Analytics and is responsible for the processing, mining and delivery of data to his/her customer community – mostly Regional Demand Analysts -through repositories, tools and services.
He/She may also partner with the DIA and TEIS Team on forecasting tools improvement projects – IBP, Machine learning and AI.
Key Qualifications, Experiences and Knowledge
       5+ years of Data Engineering experience in ETL design, development, optimization & testing using AWS tools, PL/SQL, Oracle, HANA, Redshift, Aurora etc
       3+ years of experience with AWS tools such as S3, EC2, Aurora, Redshift, RDS, Lambda Functions, ELB, VPC, Data Glue, Data Brew Auto Scaling configurations, IAM, CloudTrail, and CloudFront.
       5+ years of experience in relational and Cloud database design, optimization, and performance; preferably with AWS (S3 and Redshift), SAP HANA, BW, Oracle, and Hadoop
       Detail oriented with excellent time management and organizational skills to meet critical deadlines
       Advanced proficiency in SQL, ETL, data modelling, and working with “Big Data”.
        Experience in CRM tools, Salesforce is preferred.
       Good knowledge on any one of these data analytics tools: R, Python, Alteryx etc.
       Clear communicator who can summarize, write, speak and present confidently to a diverse audience, operating as an internal consultant and thought partner.
       Quick learner, capable of adapting to new systems and developing and continuously improving processes.
       Fluent in English",Middle,http://www.te.com,Degree,Full Time,3
database administrator,salary,AsiaPay (HK) Ltd,2022-12-01,Eastern,"Job Description
Perform database design and architecture work, perform installation, upgrade, configuration, administration, maintenance and support, for Oracle, MySQL and other databases, cater for DR site
Perform database operation including backup and restoration, troubleshooting and SQL performance tuning, monitor usage and carry out capacity planning
Perform server upgrade and migration, including migration to cloud
Perform database security set up, do vulnerability assessment and test
Create shell scripts for automation of database utility tasks, set up monitoring tools
Collaborate with application team
Prepare system and technical documentation
Provide 24 x 7 production support
Keep abreast of the latest data management trends and technologies
Job Requirement 
Degree or above in Information Technologies, Computer Science or industry related disciplines
Minimum 5 years of experience in Oracle database administration
Solid experience in large scale database design, installation, configuration, backup & recovery, analyzing performance bottleneck and carry out tuning and monitoring
Solid experience in Linux and Windows platforms
Proficient in Oracle RAC and Data Guard
Knowledge in MSSQL, MySQL is a plus
Holder of OCA/OCP certification is preferred
Good command of written and spoken English and Chinese",Middle,http://www.asiapay.com,Degree,"Full Time, Permanent",5
management,salary,DBS Bank Ltd,2022-12-01,Kwun Tong,"Business Function

Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.
Principal Responsibilities
To assist the team head to formulate strategies and plans in align with bank?s objectives and leading the team to achieve team?s business goals and targets.
To formulate and produce the timely, accurate and quality MIS reports and share insights to facilitate decision making
To develop the effective and efficiency way to compile the MIS data for MIS data maintenance
To automate and streamline reporting journey
To understand & provide report user requirement to build Operations datamarts
To develop and maintain dashboards, key indicators for leadership team to track key metrics
To analyze historical trends, prepare forecast data to archive Demand Management, digital content enrichment opportunities
To analyze the operation efficiency from operation data to optimize operation procedures
Make use of operation data to optimize operation process, enhance customer journey and reduce Employee Pain Points
To liaise with stakeholders to facilitate the data requirement and logistics
To streamline execution of the end-to-end data management process to improve the productivity and efficiency
To conduct periodical review and health check to ensure accurate data are generated for study and analysis
To draw insight from data / dashboards to identify opportunities & recommendation to users in call diversion and digital adoption
Requirements
Degree holder in Information System, Statistics, Management Science, Mathematics, or related disciplines
Minimum 5 year?s relevant experience in banking or financial industry
Process transformation mindset with related experience is preferred
Good analytical and problem-solving skills
Be data sensitive with sound presentation skills
Detail-oriented, and able to work independently
Initiative and a good team-player
Good interpersonal and communication skills
Proficient knowledge in business intelligence / data visualization tools like Qlikview/Qliksense and Tableau
Ability to work under tight deadline and handle multiple projects
Excellent command of written and spoken English and Chinese
Less experienced candidates will also be considered
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.
We regret only shortlisted candidates will be notified.",Middle,http://www.dbs.com.hk,Degree,Full Time,5
data engineer,salary,Lee Kum Kee International Holdings Limited,2022-11-29,Tai Po,"Responsibilities: -
Responsible for the implementations of the data analytics projects
Coordinate with business and other IT teams on systems’ & users’ requirements
Prepare documents such as ER diagram, data dictionary, data flow and data catalogue
Developments on data-collection tasks, data ingression, manage data Lake and data warehouse
Maintenance and support for existing data warehouse, ETL jobs, and BI platforms
Take up ad-hoc projects to as according to IT strategy
 Requirements: -
Degree or Higher Diploma holder in Computer or related discipline
2-year experience in ETL development, Data warehouse or Business Intelligence
Solid development such as Informatica (IICS), Boomi, SSIS, Azure Data Factory, SAP BW
Hands on experience or knowledge in AWS / Azure / AliCloud is a plus
Solid programming experience in Python, SQL or R
Knowledges and skills in traditional database (Oracle / Microsoft SQL/ MySQL) is an advantage
Familiar with Qlik Sense / Tableau / Power BI is an advantage
Experience in CRM and SAP is an advantage
Nice to have API management experience but not a must
Experience in FMCG industry
Good interpersonal skills and communication skills in English, Cantonese and Putonghua
We offer competitive salary package and attractive fringe benefits including life insurance, medical & dental to the right candidates. We also offer free lunch and free shuttle bus service.
Interested parties please click ""Apply Now"" to submit your application including expected salary and contact information.
For more information, please visit our website at https://corporate.lkk.com/.
All personal data provided by the job applicants will be treated in strictly confidential and will be used exclusively for employment purpose only. You should consider your application as being unsuccessful if you do not hear from us within 3 months. Your application will be retained for 12 months and be considered for other appropriate positions within this period. ",Middle,http://www.lkk.com,Degree,"Full Time, Permanent",2
data analyst,salary,Project Orbis Int'l Inc,2022-11-30,Kwun Tong,"JOB SUMMARY:
Use data from donor database system and external sources to analyze business performance and supporters’ patterns and provide business insights and deliver data driven recommendations and management reports to meet donor and business needs

JOB RESPONSIBILITIES:
Develop and implement analytical methods across different channels
Use data, both from donor database system and external sources, to understand new ways of findings, impactful insights from limited data sets and develop recommendations
Analyze the structure of a business and performance, identify problems and opportunities within a business and formulate ways for business to improve
Report on financial information, donors and supporters’ patterns and any other demographic and fundraising and analysis points
Identify giving trends and provide management reports with data driven recommendations and business insights
Maintain clear communication and ensure best practices sharing with internal stakeholders and management
Provide support to fundraising projects & programming as required
 QUALIFICATIONS & EXPERIENCE:
Degree holder in Business Information Systems, Statistics, Mathematics, Computer Science, or related disciplines
5 years work experience in database management
Must have proficiency with SQL, Microsoft Excel and Business Intelligence Software
Experience in programming using Java, Python, R, C/C++ and good understanding of machine learning is an advantage
 KNOWLEDGE & SKILLS:
Data analytic mindset with strong planning, organizing and business sense
Self-motivated, proactive and with ability to work with tight schedule
Good team player with strong interpersonal and communication skills
Flexible and willing to learn new technologies
Proficiency in Microsoft Office Application
Good command of Chinese and English, both spoken and written. Mandarin capability an advantage

APPLICATION METHOD:
If you are interested in applying for this position and joining the Orbis family, please click APPLY NOW.
All data collected will be kept confidential and used for recruitment purpose only.",Middle,https://hkg.orbis.org/en,Degree,"Full Time, Permanent",5
manager,salary,Sun Life Hong Kong Ltd,2022-12-01,Kowloon City,"Job Description
This position will be responsible for managing the project activities under Business Technology Solution (BTS) function, which is part of the Life and Health business line of Sun Life Hong Kong. This person will help to manage and prioritize all the initiative and projects on the pipeline under BTS function and face off the stakeholders to understand the business requirement and perform initial impact analysis. This person will also be responsible for compiling the initial business proposal entails the high-level requirement and scope, resource plan, costs and design of the solution. This person will have great opportunity to learn and master the core operation of a Life insurance business and understand the business context in various aspect.
Responsibilities
To coordinate internal and external resources, ensuring projects remain within scope, schedule, and defined budgets, in collaboration with project staff from various functional departments
Establish and maintain processes to manage scope over the project lifecycle, setting project quality and performance standards, and assessing and managing risk within, and across, multiple projects
Establish and maintain relationships with appropriate business stakeholders, providing day-to-day contact on project status
Working with the offshore Development team to gather the technical requirement and assess the effort based on complexity of the change.
Develop and maintain partnerships with key stakeholders
Monitor and assign resources appropriately to streamline project efficiency and maximize deliverable outputs
Report project outcomes and/or risks to the appropriate management channels as needed—escalating issues as necessary based on project work plans
Serve as thought leader for technical business processes, developing forward-thinking systems prototypes that promote increased efficiency and productivity on multiple levels
Partner with other stakeholder teams across business units (i.e., Operations, Product and other functions) to develop necessary analysis and documentation in a collaborative way, communicating effectively and efficiently with production, managerial, and executive teams
Evaluate, analyze, and communicate systems requirements on a continuing basis, and maintain systems processes, including the delivery of regular status reports to all appropriate parties
Author and update internal and external documentation, and formally initiate and deliver requirements and documentation
Develop meaningful and lasting relationships with partners for optimized systems integration, and respond to questions and concerns from managers and executives with supporting analysis and recommendations
Requirement
Bachelor’s or Master’s degree in IT or Computer Science
Professional certification—including PMP/Scrum Master is added advantage
10+ years project management and business analysis experience
Hands-on experience with developing web technologies and software platforms for maximum usability
Proven success working with all levels of management
Strong written and verbal communication skills
Strong presentation skills
Previous success in producing deliverable software platforms
Strong attention to details and high awareness on deadlines and budgetary guidelines
High proficiency with SQL language and database management
Proven analytical abilities
Practical experience generating process documentation and reports
Excellent communicator with the ability to translate data into actionable insights
We offer 5-day work, attractive salary, MPF, group life and group medical insurance and excellent career development opportunities to the right candidate.
We are an equal opportunity employer and welcome applications from all qualified candidates. Application forms and resume will be kept for a period of 24 months after completion of the recruitment process. (All information will be held in strict confidence and only used for recruitment purpose).",Senior,http://www.sunlife.com.hk,Degree,"Full Time, Permanent",10
data analyst,salary,Acton Consulting Limited,2022-11-30,district,"Responsibilities:
Gather and interpret business and user requirement for data analytic project
Deliver the design and implementation of data visualization, data modelling, and dashboard building
Troubleshoot issues on dashboard / report
Working with stakeholders in projects closely 
You are required:
Degree Holder in Statistics, Data Science, Mathematics, Computer Science or related disciplines
Hands-on experience in SQL is a must
At least 2 years working experience in ETL or Data Mining
Technical experience in Tableau or Power BI would be an advantage BUT essential
Tableau Certification is a plus
Less experience will be consider as Data Analyst
Interested parties please send full resume in MS WORD format stating current salary, expected salary and availability to CV@ ActonCL.com
www.ActonCL.com Unit 2302, 23/F, New World Tower 1, 18 Queen's Road Central. Hong Kong
All information received will be kept in strict confidence and only for employment-related purposes.",Middle,http://www.actoncl.com,Non-Degree Tertiary,"Full Time, Permanent",1
junior database administrator,"HK$30,000 - HK$35,000 /month",Links International,2022-11-30,Kwun Tong,"Our client is a leading IT service and consulting company across global. Currently they are looking for a Database Administrator (Banking) to join their team, and mainly provide DB services for banking clients.

Responsibilities
Database and system administration including installation, performance tuning, capacity planning and security administration
Provide database maintenance management including evaluation of new releases and patches
7x24 technical support (rotational on-call) for the database environment
Develop plans and technical documentation for infrastructure and operation
Coordinate database projects with tender and solution design
Requirements
Degree in Computer Science or related disciplines
Minimum 5 years workexperience in IT , including 2 years in Database Administration
Experience on RDBMS (e.g. Oracle, Sybase and DB2), database design, DB monitoring and tuning, DB patching and version upgrade
Preferred hands-on experiences DB account/role privileges setup, DB security and audit configuration
Proficient in English and Chinese",Middle,http://www.linksinternational.com/,Degree,"Full Time, Permanent",1
crm specialist,salary,Robert Walters (HK),2022-11-30,district,"One of the leading property developers is looking for a CRM Analyst to join their team. They are currently seeking for talents with strong analytical skill and successful customer acquisition experience. If you are a candidate with relevant experience and hoping to join a sizeable team with promising exposure then this is an excellent role for you!
Job Descriptions:
Develop and execute full cycle of CRM marketing including promotion campaign and automation
Monitor and review loyalty program campaign performance to enhance the effectiveness
Work collaboratively with internal & external stakeholders for the development of CRM system
Analysis of customer behaviors to drive success member acquisition, engagement and communication activities
Conduct market research to obtain marketing intelligence, and support the development of member engagement
Assist in ad hoc duties as assigned
Job Requirements:
Bachelor Degree in Marketing, Communications or any related discipline
Minimum 1 year relevant experience in CRM, loyalty program management, preferably in property or hospitality industry
Agency background is welcomed
Creative mindset and high numeric sensitivity
Good team player with strong analytical, statistical and project management skill
Excellent communication skill in both spoken and written English and Chinese
Job Offer:
Medical and dental insurance
Performance bonus
Promising career exposure",Middle,http://www.robertwalters.com.hk,Degree,"Full Time, Permanent",1
manager,salary,Robert Walters (HK),2022-11-30,district,"One of the leading property developers is looking for an Assistant Digital Experience Manager to join their team. They are currently seeking for an innovative talent with digital journey design experience. If you are a candidate with relevant experience and hoping to join a sizeable team with promising exposure then this is an excellent role for you!
Job Descriptions:
Plan and execute CRM and customer lifecycle management strategy
Work collaboratively with internal teams to set up a clear roadmap and achieve the customer retention and loyalty project goals
Provide insight on loyalty marketing campaign and optimize customer experience for both offline and digital journey
Develop analytical solutions based on customer behavior and satisfaction
Conduct market research of design trends and communicate with UI/UX designer for the implementation of design innovations
Prepare regular data performance reports for management review
Assist in ad hoc duties as assigned
Job Requirements:
Bachelor Degree in Marketing, Business Administrations or any related discipline
Minimum 3 years relevant experience in loyalty marketing, CRM or customer analytics, preferably from property or hospitality industries
Solid knowledge of customer journey and UI/UX design, and familiar with digital analytics tools
Proactive, customer-centric, strong in analytical and project management skill
Excellent communication skill in both spoken and written English and Chinese
Agency background is welcomed
Job Offer
Medical and dental insurance
Performance bonus
Promising career exposure",Senior,http://www.robertwalters.com.hk,Degree,"Full Time, Permanent",3
management,salary,DBS Bank Ltd,2022-11-28,Kwun Tong,"Business Function
Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.
The Demand Management & Chatbot team is responsible for demand management to achieve call reduction, manage/ drive Chatbot/Livechat’s performance and assigned special / strategic projects that will either strengthen the foundation of Business Care (a Customer Service Centre of Institutional Banking clients) or transform Business Care to the next level.
Responsibility 
Demand Management
Perform data analytic to interpret trends, insights, performance gaps or opportunities for improvements and call reduction
Drive/ participate in various demand management initiatives/projects to achieve call reduction and improve BusinessCare’s performance and reporting
Chatbot/Livechat Monitoring and Enhancement
Monitor Chatbot/Livechat’s performance, including contents for Frequently Asked Questions, Responses to complex questions via Guided Conversation & Targetted Marketing Campaign, and oversee the intent annotation process and plan relevant initiatives accordingly
Perform analysis to track Chatbot/Livechat’s usage to ensure the quality of the customer experience and continue increasing the usage rate
Participate in designing servicing model of Chatbot/Livechat and arrange for implementation
Drive/ participant in improvement projects (but not necessarily limited to):-
Customer/ employee journeys
Demand management projects
Process improvements
Technology-related or digitization
Drive business case, including stakeholders buy-in, clear objectives, impact analysis, high level timelines & measurements to projects.
Use agile or other methods of project management, create drumbeat review process for the project to ensure that deliverables at each milestone can clearly be tracked and measured.
Requirement 
Min. Degree qualified
Strong in data analystics. Able to draw trends & interpret statistics.  Overall comfortable with numbers.  Previous experience in business modelling, business case justification, financial planning / mgmt is an advantage.
Advanced in MS Office Excel, Python and/ or other data analyst tools.
Strategic & exhibit critical thinking – able to see trends and draw conclusions from data & findings; able to support decision making process strategically by framing options with pros & cons, with foresight & big picture in mind.
With experieince in project management, familiarity with agile methodology is a plus
Knowledge in a customer / call centre or operational environment is an advantage
Good presentation, communication & articulation skills 
Able to manage stakeholders well, experienced in managing conflicts.  
Energetic, enjoys driving change & solving new problems.
Team player; demonstrable ability to collaborate widely across the organization
Able to communicate well in English
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.
We regret only shortlisted candidates will be notified.",Middle,http://www.dbs.com.hk,Degree,Full Time,4
manager,salary,PCCW Solutions,2022-11-29,district,"The Job
We are looking for an experienced Sales Operations professional to help improving the efficiency of our corporate and sales operations, to build & maintain processes to meet business needs, and to ensure all business functions & systems are aligned with our strategic goals.
The ideal candidate is passionate in adopting digital and technology in better enabling sales & marketing operations to drive process improvement and efficiency.
 Responsibilities
Support Sales Opportunity Review Cadence.  Formulate and monitor Sales Process KPIs.
Collaborate with cross functional teams (including sales organization, business operations, Finance, etc.) to drive corporate & sales process improvements and process governance.
SFA (Sales Force Automation) platform management including business & technical readiness for future releases, project stakeholder communications, change management & training activities.
Design & implement easy to deploy digital processes to address sales & cross team organizational requirements.
Support Business Intelligence strategy & implementation.
 Requirements
A university degree holder in Business, Computer Science or related discipline, with 5+ years of experience in business or sales operations / process design and management / strategic planning.
Strong Analytical skill.
Good command of English & Mandarin & communication skill is essential.
Knowledge of CRM software, such as Salesforce, Microsoft Dynamics is required.
Excellent MS Office is required.  Knowledge on MS SharePoint / PowerApp / Power Automate would be an advantage.
Familiarity with interactive data visualization / business intelligence software (e.g. Power BI, Tableau, QlikView, etc.) will be an advantage.
Lean / Six Sigma certification would be advantageous.",Middle,http://www.pccwsolutions.com,Degree,"Full Time, Permanent",5
data analyst,salary,DBS Bank Ltd,2022-11-28,Central and Western,"Business Function

Corporate and Investment Banking provides corporate customers with a full range of commercial banking products and services, including cash management services, current accounts, time deposits, trade finance, working capital finance, term loans and foreign exchange. Through our continued commitment, DBS has cultivated long-standing relationships with its customers in the region that are based on account relationship management, service differentiation, product development and rigorous credit standards
Job Objective
Your primary responsibilities will be around building data science solutions to enable transformation of data into insights and actions and to bring analytics result alive for communicating to stakeholders. You will be exposed to full range of Corporate Banking products and have opportunities to design analytics from a holistic customer view. You will be a key part of team in bringing data science projects alive to support business decision-making.
The incumbent will report to Team Lead of Data Science to develop business analytics capability and build visualization for answering questions related to Corporate Banking. He will be responsible for the design, development and deployment of the analysis together with the data scientists and data engineers.
Responsibilities
Understand business drivers and priorities. Identify opportunities where analytics can create significant value.
Explore data sources and conduct exploratory data analysis. Identify data which is relevant to the problems to solve. Create features to make them valuable for analytics.
Translate business problems / opportunities into tangible analytics requirements and recommend potential solutions.
Serve as the bridge between product owners and data scientists to experiment, develop, test and roll out data-driven solutions
Collaborate with stakeholders to propose and evaluate actions for performance improvements.
Conduct research, analyze, and articulate meaningful insights using data to accelerate business growth.
Develop business analytics capability in line with use cases identified
Build visualization and dashboards to bring analytics result alive for communicating to stakeholders.
Collaborate with data scientists and data engineers to develop data science solutions, ranging from on-demand queries to machine learning models, for business growth, productivity gain and risk mitigation.
Manage end-to-end solution delivery and stakeholders
Requirements
Degree in Business Analytics, Mathematics, Statistics, Computer Science, Information Engineering, or related disciplines.
Related accreditation obtained via MOOC or other education institutions is a plus.
6+ years of experience in data analytics
Experience in banking data is a plus
Functional / technical competencies:
Strong business analysis skills
Solid experience in understanding and visualizing data in the most effective way possible for a given project
Well versed with data analytics techniques like predictive, prescriptive and machine learning
Working knowledge in data wrangling in Python to perform analysis independently
Working knowledge in building visualization including dashboards. Experience in Qlikview / Qlik Sense is a plus
Banking domain knowledge is a plus
Experience in cloud computing (e.g. Cloudera, AWS) and big data computation framework (e.g. Spark) is a plus
Soft skills:
Ability to navigate in a complex environment to drive outcome with stakeholders
Ability to clearly articulating data deliverables  in a manner easily understood in oral and written format
Strong management and communication skills
Be collaborative to help business with a can-do spirit
Passionate in new technologies and eager to learn attitude.
Proficient in English and Chinese",Middle,http://www.dbs.com.hk,Degree,Full Time,7
data analyst,salary,A.S. Watson Industries,2022-11-26,Tai Po,"Come and Join Us!
Why Should You Join Us?
At Watsons Water, we believe in our people, in teamwork and the importance of your personal growth. We offer pleasant working environment to make staff get united and work as a team, we offer fun and interactive activities that both staff and their families can enjoy.
For more information, please visit our website at www.aswatson.com.
You can enjoy:
Comprehensive Medical and Life Insurance coverage, including your spouse and children!
Professional training and career advancement opportunities!
Exclusive company pension schemes! Marriage, Maternity and Paternity Leave!
Free Company Coach and Meal Allowance
Exclusive shopping discount, special sales for our people only!
Your role
Take lead in implementation of the Data Warehousing and Business Intelligence (BI) Solution.
ETL programming development, data warehouse maintenance, data integration projects and data management etc.
Work with the business users to identify opportunity in operation efficiency, productivity improvement, customer experience
Define the data requirements and the structure for applications and database.
This job is a good fit for You if You are:
Expert – Have in-depth knowledge of a key area and seek possible solutions through study and research; tend to be more reserved, and don’t need to be in charge; work well in teams and are also comfortable working alone. 
Problem Solver – Make decisions based on evidence-based opinions; when you do something new, you seek to understand as much as possible and don’t jump in but conduct your due diligence and plan for moving forward.
Innovator – Good at designing new solutions and tend to think in a non-linear way; will not be constrained by the past, instead viewing challenges as opportunities to change direction and explore what's ‘new and different.
Communicator – Have an ability to pick up on people’s underlying motivations and these insights make them persuasive and inspiring communicators; natural mediators who understand diverse perspectives and value a positive, and inclusive environment. 
We are looking for:
Degree in Computer Science, Information Technology, or related disciplines.
3-5 years of experience in data warehouse, BI platform and application development.
Knowledge of ETL techniques, multidimensional database design and architecture.
Strong knowledge of BI solution such as Tableau and PowerBI.
Experience in architecture design and solution delivery on cloud data analytics platform such as Azure, AWS.
Experience in Python ETL Tools or other ETL Tools (e.g. informatica, SSIS) is an advantage.
Exposure to FMCG industry is an advantage
Energetic, well-organized and able to work independently
Good communication and interpersonal skills
Good command of written & spoken English and Chinese
What is holding you back?
 Don’t miss out on this great chance to shape Your life!
  Apply now! 
Interested parties please send your full resume together with salary expectation and availability to our Company email or via APPLY NOW.
All information provided will be used for recruitment and other employment-related purposes by A.S. Watson & Company Limited (for and on behalf of the A.S. Watson Group of companies). It may be provided to companies/parties authorized to process the information for purposes relating to recruitment, e.g. qualifications assessment.
With the consent of applicant, all personal data of unsuccessful applicants will be retained for future consideration for two years. Otherwise, all personal data of unsuccessful applicants will be retained for 12 months.

Application will not be considered if the applicant does not provide all information as requested.
All information provided will be held in strict confidence.
If applicant request access to, and to request correction of personal data in relation to the application, please contact our People Department at 2660 1880.",Middle,http://www.aswatson.com,Degree,"Full Time, Permanent",3
